COG ID	Catergory Code	Catergory	
COG0430	A	RNA processing and modification	
COG1949	A	RNA processing and modification	
COG4085	A	RNA processing and modification	
COG5180	A	RNA processing and modification	
COG5186	A	RNA processing and modification	
COG5238	A	RNA processing and modification	
COG5239	A	RNA processing and modification	
COG0123	B	Chromatin structure and dynamics	
COG1243	B	Chromatin structure and dynamics	
COG2036	B	Chromatin structure and dynamics	
COG5406	B	Chromatin structure and dynamics	
COG5531	B	Chromatin structure and dynamics	
COG5602	B	Chromatin structure and dynamics	
COG0022	C	Energy production and conversion	
COG0039	C	Energy production and conversion	
COG0045	C	Energy production and conversion	
COG0055	C	Energy production and conversion	
COG0056	C	Energy production and conversion	
COG0074	C	Energy production and conversion	
COG0114	C	Energy production and conversion	
COG0221	C	Energy production and conversion	
COG0224	C	Energy production and conversion	
COG0240	C	Energy production and conversion	
COG0243	C	Energy production and conversion	
COG0247	C	Energy production and conversion	
COG0277	C	Energy production and conversion	
COG0280	C	Energy production and conversion	
COG0281	C	Energy production and conversion	
COG0282	C	Energy production and conversion	
COG0348	C	Energy production and conversion	
COG0355	C	Energy production and conversion	
COG0356	C	Energy production and conversion	
COG0371	C	Energy production and conversion	
COG0372	C	Energy production and conversion	
COG0374	C	Energy production and conversion	
COG0377	C	Energy production and conversion	
COG0426	C	Energy production and conversion	
COG0427	C	Energy production and conversion	
COG0431	C	Energy production and conversion	
COG0435	C	Energy production and conversion	
COG0437	C	Energy production and conversion	
COG0473	C	Energy production and conversion	
COG0479	C	Energy production and conversion	
COG0508	C	Energy production and conversion	
COG0538	C	Energy production and conversion	
COG0543	C	Energy production and conversion	
COG0546	C	Energy production and conversion	
COG0554	C	Energy production and conversion	
COG0567	C	Energy production and conversion	
COG0578	C	Energy production and conversion	
COG0604	C	Energy production and conversion	
COG0633	C	Energy production and conversion	
COG0636	C	Energy production and conversion	
COG0644	C	Energy production and conversion	
COG0649	C	Energy production and conversion	
COG0650	C	Energy production and conversion	
COG0651	C	Energy production and conversion	
COG0654	C	Energy production and conversion	
COG0655	C	Energy production and conversion	
COG0674	C	Energy production and conversion	
COG0680	C	Energy production and conversion	
COG0711	C	Energy production and conversion	
COG0712	C	Energy production and conversion	
COG0713	C	Energy production and conversion	
COG0716	C	Energy production and conversion	
COG0723	C	Energy production and conversion	
COG0778	C	Energy production and conversion	
COG0785	C	Energy production and conversion	
COG0838	C	Energy production and conversion	
COG0839	C	Energy production and conversion	
COG0843	C	Energy production and conversion	
COG0852	C	Energy production and conversion	
COG1005	C	Energy production and conversion	
COG1007	C	Energy production and conversion	
COG1008	C	Energy production and conversion	
COG1009	C	Energy production and conversion	
COG1012	C	Energy production and conversion	
COG1013	C	Energy production and conversion	
COG1014	C	Energy production and conversion	
COG1017	C	Energy production and conversion	
COG1018	C	Energy production and conversion	
COG1029	C	Energy production and conversion	
COG1034	C	Energy production and conversion	
COG1035	C	Energy production and conversion	
COG1036	C	Energy production and conversion	
COG1038	C	Energy production and conversion	
COG1042	C	Energy production and conversion	
COG1048	C	Energy production and conversion	
COG1049	C	Energy production and conversion	
COG1052	C	Energy production and conversion	
COG1053	C	Energy production and conversion	
COG1071	C	Energy production and conversion	
COG1138	C	Energy production and conversion	
COG1139	C	Energy production and conversion	
COG1140	C	Energy production and conversion	
COG1141	C	Energy production and conversion	
COG1142	C	Energy production and conversion	
COG1143	C	Energy production and conversion	
COG1144	C	Energy production and conversion	
COG1145	C	Energy production and conversion	
COG1148	C	Energy production and conversion	
COG1150	C	Energy production and conversion	
COG1151	C	Energy production and conversion	
COG1152	C	Energy production and conversion	
COG1153	C	Energy production and conversion	
COG1155	C	Energy production and conversion	
COG1156	C	Energy production and conversion	
COG1182	C	Energy production and conversion	
COG1227	C	Energy production and conversion	
COG1229	C	Energy production and conversion	
COG1249	C	Energy production and conversion	
COG1251	C	Energy production and conversion	
COG1252	C	Energy production and conversion	
COG1254	C	Energy production and conversion	
COG1269	C	Energy production and conversion	
COG1271	C	Energy production and conversion	
COG1274	C	Energy production and conversion	
COG1282	C	Energy production and conversion	
COG1290	C	Energy production and conversion	
COG1294	C	Energy production and conversion	
COG1301	C	Energy production and conversion	
COG1304	C	Energy production and conversion	
COG1319	C	Energy production and conversion	
COG1333	C	Energy production and conversion	
COG1347	C	Energy production and conversion	
COG1359	C	Energy production and conversion	
COG1390	C	Energy production and conversion	
COG1394	C	Energy production and conversion	
COG1436	C	Energy production and conversion	
COG1454	C	Energy production and conversion	
COG1456	C	Energy production and conversion	
COG1526	C	Energy production and conversion	
COG1527	C	Energy production and conversion	
COG1529	C	Energy production and conversion	
COG1556	C	Energy production and conversion	
COG1584	C	Energy production and conversion	
COG1592	C	Energy production and conversion	
COG1614	C	Energy production and conversion	
COG1620	C	Energy production and conversion	
COG1622	C	Energy production and conversion	
COG1625	C	Energy production and conversion	
COG1668	C	Energy production and conversion	
COG1679	C	Energy production and conversion	
COG1726	C	Energy production and conversion	
COG1740	C	Energy production and conversion	
COG1757	C	Energy production and conversion	
COG1773	C	Energy production and conversion	
COG1795	C	Energy production and conversion	
COG1805	C	Energy production and conversion	
COG1838	C	Energy production and conversion	
COG1845	C	Energy production and conversion	
COG1853	C	Energy production and conversion	
COG1866	C	Energy production and conversion	
COG1880	C	Energy production and conversion	
COG1882	C	Energy production and conversion	
COG1883	C	Energy production and conversion	
COG1894	C	Energy production and conversion	
COG1902	C	Energy production and conversion	
COG1905	C	Energy production and conversion	
COG1908	C	Energy production and conversion	
COG1927	C	Energy production and conversion	
COG1941	C	Energy production and conversion	
COG1951	C	Energy production and conversion	
COG1969	C	Energy production and conversion	
COG1979	C	Energy production and conversion	
COG2009	C	Energy production and conversion	
COG2010	C	Energy production and conversion	
COG2025	C	Energy production and conversion	
COG2033	C	Energy production and conversion	
COG2037	C	Energy production and conversion	
COG2041	C	Energy production and conversion	
COG2048	C	Energy production and conversion	
