COG ID	COG Name	Isolate Genome Count	Metagenome Count	
COG0001	Glutamate-1-semialdehyde aminotransferase	39031	7293	
COG0002	N-acetyl-gamma-glutamylphosphate reductase	39798	7228	
COG0003	Anion-transporting ATPase, ArsA/GET3 family	10164	6751	
COG0004	Ammonia channel protein AmtB	39358	7202	
COG0005	Purine nucleoside phosphorylase	27647	7227	
COG0006	Xaa-Pro aminopeptidase	48594	7487	
COG0007	Uroporphyrinogen-III methylase (siroheme synthase)	36710	7121	
COG0008	Glutamyl- or glutaminyl-tRNA synthetase	50124	7487	
COG0009	tRNA A37 threonylcarbamoyladenosine synthetase subunit TsaC/SUA5/YrdC	48838	7264	
COG0010	Arginase family enzyme	33152	7114	
COG0011	Uncharacterized conserved protein YqgV, UPF0045/DUF77 family	15878	6238	
COG0012	Ribosome-binding ATPase YchF, GTP1/OBG family	49408	7443	
COG0013	Alanyl-tRNA synthetase	46947	7498	
COG0014	Gamma-glutamyl phosphate reductase	37258	7175	
COG0015	Adenylosuccinate lyase	47555	7362	
COG0016	Phenylalanyl-tRNA synthetase alpha subunit	49358	7404	
COG0017	Aspartyl/asparaginyl-tRNA synthetase	31498	7187	
COG0018	Arginyl-tRNA synthetase	49455	7422	
COG0019	Diaminopimelate decarboxylase	44923	7425	
COG0020	Undecaprenyl pyrophosphate synthase	48726	7379	
COG0021	Transketolase	42501	7325	
COG0022	Pyruvate/2-oxoglutarate/acetoin dehydrogenase complex, dehydrogenase (E1) component	32218	7245	
COG0023	Translation initiation factor 1 (eIF-1/SUI1)	15625	6599	
COG0024	Methionine aminopeptidase	50320	7461	
COG0025	NhaP-type Na+/H+ or K+/H+ antiporter	36129	6916	
COG0026	Phosphoribosylaminoimidazole carboxylase (NCAIR synthetase)	40688	7015	
COG0027	Formate-dependent phosphoribosylglycinamide formyltransferase (GAR transformylase)	21635	6376	
COG0028	Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme	45119	7483	
COG0029	Aspartate oxidase	29801	7215	
COG0030	16S rRNA A1518 and A1519 N6-dimethyltransferase RsmA/KsgA/DIM1 (may also have DNA glycosylase/AP lyase activity)	49372	7306	
COG0031	Cysteine synthase	46521	7406	
COG0033	Phosphoglucomutase	19823	6630	
COG0034	Glutamine phosphoribosylpyrophosphate amidotransferase	46086	7370	
COG0035	Uracil phosphoribosyltransferase	42948	7092	
COG0036	Pentose-5-phosphate-3-epimerase	48571	7346	
COG0037	tRNA(Ile)-lysidine synthase TilS/MesJ	46310	7296	
COG0038	H+/Cl- antiporter ClcA	31631	7000	
COG0039	Malate/lactate dehydrogenase	43366	7429	
COG0040	ATP phosphoribosyltransferase	39698	7128	
COG0041	Phosphoribosylcarboxyaminoimidazole (NCAIR) mutase	45854	7170	
COG0042	tRNA-dihydrouridine synthase	47722	7189	
COG0043	3-polyprenyl-4-hydroxybenzoate decarboxylase	22745	6957	
COG0044	Dihydroorotase or related cyclic amidohydrolase	42459	7381	
COG0045	Succinyl-CoA synthetase, beta subunit	38771	7340	
COG0046	Phosphoribosylformylglycinamidine (FGAM) synthase, synthetase domain	45407	7308	
COG0047	Phosphoribosylformylglycinamidine (FGAM) synthase, glutamine amidotransferase domain	23229	7249	
COG0048	Ribosomal protein S12	49595	7418	
COG0049	Ribosomal protein S7	49967	7417	
COG0050	Translation elongation factor EF-Tu, a GTPase	44997	7467	
COG0051	Ribosomal protein S10	50012	7413	
COG0052	Ribosomal protein S2	49891	7457	
COG0053	Divalent metal cation (Fe/Co/Zn/Cd) transporter	41040	7212	
COG0054	6,7-dimethyl-8-ribityllumazine synthase (Riboflavin synthase beta chain)	43423	7219	
COG0055	FoF1-type ATP synthase, beta subunit	47211	7423	
COG0056	FoF1-type ATP synthase, alpha subunit	47195	7442	
COG0057	Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase	49884	7475	
COG0058	Glucan phosphorylase	29019	7317	
COG0059	Ketol-acid reductoisomerase	42084	7286	
COG0060	Isoleucyl-tRNA synthetase	48361	7470	
COG0061	NAD kinase	47015	7324	
COG0062	NAD(P)H-hydrate repair enzyme Nnr, NAD(P)H-hydrate epimerase domain	4546	6991	
COG0063	NAD(P)H-hydrate repair enzyme Nnr, NAD(P)H-hydrate dehydratase domain	43664	7153	
COG0064	Asp-tRNAAsn/Glu-tRNAGln amidotransferase B subunit	36192	7388	
COG0065	Homoaconitase/3-isopropylmalate dehydratase large subunit	40656	7302	
COG0066	3-isopropylmalate dehydratase small subunit	40695	7218	
COG0067	Glutamate synthase domain 1	3888	7135	
COG0068	Hydrogenase maturation factor HypF (carbamoyltransferase)	13113	6666	
COG0069	Glutamate synthase domain 2	39065	7265	
COG0070	Glutamate synthase domain 3	2531	7073	
COG0071	Molecular chaperone IbpA, HSP20 family	38631	7316	
COG0072	Phenylalanyl-tRNA synthetase beta subunit	48565	7392	
COG0073	tRNA-binding EMAP/Myf domain	26840	7349	
COG0074	Succinyl-CoA synthetase, alpha subunit	39348	7335	
COG0075	Archaeal aspartate aminotransferase or a related aminotransferase, includes purine catabolism protein PucG	26302	7204	
COG0076	Glutamate or tyrosine decarboxylase or a related PLP-dependent protein	21892	6927	
COG0077	Prephenate dehydratase	42336	7248	
COG0078	Ornithine carbamoyltransferase	45102	7349	
COG0079	Histidinol-phosphate/aromatic aminotransferase or cobyric acid decarboxylase	42890	7308	
COG0080	Ribosomal protein L11	49866	7446	
COG0081	Ribosomal protein L1	48940	7466	
COG0082	Chorismate synthase	45605	7282	
COG0083	Homoserine kinase	32860	6932	
COG0084	Tat protein secretion system quality control protein TatD (DNase activity)	49539	7320	
COG0085	DNA-directed RNA polymerase, beta subunit/140 kD subunit	26402	7570	
COG0086	DNA-directed RNA polymerase, beta' subunit/160 kD subunit	49041	7530	
COG0087	Ribosomal protein L3	49873	7458	
COG0088	Ribosomal protein L4	49942	7445	
COG0089	Ribosomal protein L23	50155	7421	
COG0090	Ribosomal protein L2	50120	7472	
COG0091	Ribosomal protein L22	50243	7427	
COG0092	Ribosomal protein S3	50305	7466	
COG0093	Ribosomal protein L14	50424	7441	
COG0094	Ribosomal protein L5	50534	7462	
COG0095	Lipoate-protein ligase A	27256	6748	
COG0096	Ribosomal protein S8	50502	7458	
COG0097	Ribosomal protein L6P/L9E	50468	7475	
COG0098	Ribosomal protein S5	50389	7455	
COG0099	Ribosomal protein S13	50068	7484	
COG0100	Ribosomal protein S11	47577	7448	
COG0101	tRNA U38,U39,U40 pseudouridine synthase TruA	47151	7271	
COG0102	Ribosomal protein L13	50268	7434	
COG0103	Ribosomal protein S9	50308	7437	
COG0104	Adenylosuccinate synthase	47348	7437	
COG0105	Nucleoside diphosphate kinase	45948	7316	
COG0106	Phosphoribosylformimino-5-aminoimidazole carboxamide ribonucleotide (ProFAR) isomerase	40659	7200	
COG0107	Imidazole glycerol phosphate synthase subunit HisF	41046	7184	
COG0108	3,4-dihydroxy-2-butanone 4-phosphate synthase	42988	7260	
COG0109	Polyprenyltransferase (heme O synthase)	35091	6783	
COG0110	Acetyltransferase (isoleucine patch superfamily)	38536	7203	
COG0111	Phosphoglycerate dehydrogenase or related dehydrogenase	44890	7398	
COG0112	Glycine/serine hydroxymethyltransferase	48558	7424	
COG0113	Delta-aminolevulinic acid dehydratase, porphobilinogen synthase	40280	7212	
COG0114	Fumarate hydratase class II	38169	7205	
