DATASET_BINARY
SEPARATOR COMMA
DATASET_LABEL,location
COLOR,#666666
FIELD_SHAPES,2
FIELD_LABELS,location
DATA
b3503,-1
b2495,-1
b3502,-1
NA,-1
BSU25780,-1
BSU36030,-1
BSU05340,-1
BSU25790,-1
NA,-1
NA,-1
PA0950,-1
PA2278,-1
BH_RS15100,-1
BH_RS15105,-1
NA,-1
MAFF_RS09665,-1
TVG_RS01495,-1
BB_RS14465,-1
BB_RS13965,-1
BB_RS05935,-1
DET_RS07270,-1
DET_RS04740,-1
DVU1646,-1
GSU2953,-1
GSU2954,-1
MAP_RS04975,-1
MAP_RS02475,-1
NA,-1
LMOF2365_RS06555,-1
NA,-1
Atu1490,-1
Atu1491,-1
SAP1_RS38500,-1
STM2495,-1
LIN_RS06835,-1
PCC7120DELTA_RS07340,-1
RS_RS16385,-1
NA,-1
NA,-1
MA_RS16240,-1
MA_RS20585,-1
MM_RS03010,-1
MM_RS03880,-1
XCC0686,-1
BCE_RS15400,-1
BCE_RS25620,-1
BCE_RS15405,-1
BA_3196,-1
BA_5462,-1
BA_3197,-1
PFL_RS22610,-1
PFL_RS16590,-1
PFL_RS11040,-1
OB_RS12440,-1
OB_RS12445,-1
OB_RS10450,-1
NA,-1
SO_2871,-1
SO_0534,-1
CE_RS05835,-1
CE_RS04500,-1
bll3084,-1
blr5272,-1
bll3085,-1
ECA_RS07940,-1
ECA_RS06225,-1
ECA_RS07945,-1
NA,-1
NA,-1
CTC_RS09725,-1
NA,-1
T_RS01825,-1
BT_0115,-1
BT_0803,-1
BT_0114,-1
BC3152,-1
BC5226,-1
BC3153,-1
NA,-1
CV_RS03765,-1
CV_RS11925,-1
NA,-1
TX73_RS18190,-1
TX73_RS18150,-1
TX73_RS17325,-1
TX73_RS11520,-1
TX73_RS18145,-1
NA,-1
PSPPH_RS18840,-1
PSPPH_RS18225,-1
NA,-1
NA,-1
PTO_RS00425,-1
BAS2971,-1
BAS5075,-1
BAS2972,-1
NA,-1
YPTB_RS15115,-1
YPTB_RS04360,-1
STH_RS11815,-1
STH_RS04595,-1
BCE33L_RS15600,-1
BCE33L_RS26200,-1
BCE33L_RS15605,-1
BLI_RS10495,-1
BLI_RS10500,-1
NA,-1
NFA_RS12275,-1
LPP_RS01550,-1
LPL_RS01475,-1
SPA_RS01850,-1
EB_RS13960,-1
EB_RS13970,-1
ABC_RS04435,-1
ABC_RS04430,-1
TK_RS04340,-1
TK_RS04160,-1
NA,-1
NA,-1
SCH_RS13045,-1
BRUAB_RS04815,-1
CGTRNA_RS05475,-1
CGTRNA_RS07570,-1
CGTRNA_RS01390,-1
XC_RS17950,-1
JK_RS10230,-1
SH_RS00505,-1
SH_RS00485,-1
SH_RS00455,-1
SH_RS00910,-1
SH_RS00490,-1
SH_RS00460,-1
PSYC_RS04950,-1
PSYC_RS04960,-1
DARO_RS13510,-1
DARO_RS13500,-1
DARO_RS03625,-1
TFU_RS07695,-1
MBAR_RS09050,-1
CBDB_RS05750,-1
CBDB_RS03635,-1
CBDB_RS04875,-1
TBD_RS07130,-1
TBD_RS07115,-1
NWI_RS16230,-1
NWI_RS09985,-1
NWI_RS16235,-1
NA,-1
PFL01_RS21250,-1
PFL01_RS12120,-1
PFL01_RS11060,-1
NA,-1
PCAR_RS09850,-1
IS_RS19365,-1
NA,-1
PLUT_RS08795,-1
PLUT_RS08790,-1
CAG_RS02120,-1
GMET_RS13985,-1
GMET_RS02600,-1
GMET_RS02595,-1
DDE_RS12950,-1
DDE_RS12840,-1
GBAA_RS15635,-1
GBAA_RS26630,-1
GBAA_RS15640,-1
SBO_RS19330,-1
SBO_RS14090,-1
SBO_RS19325,-1
NMUL_RS06085,-1
BAB_RS20760,-1
Moth_2208,-1
NA,-1
NA,-1
ADEH_RS05240,-1
RHE_RS12955,-1
RHE_RS03030,-1
CYA_RS08110,-1
NA,-1
RPB_RS09900,-1
RPB_RS09915,-1
RPB_RS09920,-1
SARO_RS16650,-1
NA,-1
NA,-1
DSY_RS22020,-1
DSY_RS24500,-1
DSY_RS22035,-1
DSY_RS22015,-1
DSY_RS21920,-1
DSY_RS24920,-1
DSY_RS24505,-1
DSY_RS22005,-1
RPC_RS03105,-1
RPC_RS03100,-1
MFLA_RS07650,-1
MFLA_RS07635,-1
BPRO_RS11040,-1
RPD_RS17210,-1
RPD_RS17190,-1
RPD_RS17185,-1
CSAL_RS09625,-1
CSAL_RS07545,-1
NHAM_RS11435,-1
PCRYO_RS07475,-1
PCRYO_RS07465,-1
RMET_RS17265,-1
RMET_RS01670,-1
RMET_RS01675,-1
ACID345_RS15250,-1
ACID345_RS15255,-1
PSEEN_RS06285,-1
PSEEN_RS15280,-1
NA,-1
MMCS_RS21375,-1
MMCS_RS23845,-1
MMCS_RS22780,-1
RXYL_RS05330,-1
RXYL_RS05205,-1
YPN_RS06995,-1
YPN_RS03995,-1
YPA_RS11795,-1
YPA_RS14620,-1
NA,-1
MESO_RS03385,-1
MESO_RS03380,-1
CHU_RS07375,-1
CHU_RS07385,-1
NA,-1
RHA1_RS27595,-1
RHA1_RS05705,-1
RHA1_RS16340,-1
NA,-1
H16_RS17885,-1
H16_RS10890,-1
GBCGDNIH1_RS00950,-1
GBCGDNIH1_RS10850,-1
RL_RS14935,-1
NA,-1
RPE_RS18305,-1
RPE_RS18300,-1
PA14_RS21160,-1
PA14_RS14295,-1
LVIS_RS15860,-1
NA,-1
NA,-1
ACID_RS22500,-1
ACID_RS22495,-1
ARTH_RS01100,-1
NA,-1
NA,-1
MAV_RS05520,-1
MAV_RS02780,-1
MAV_RS07145,-1
