LABELS
SEPARATOR COMMA
DATA
#NODE_ID,LABEL
ACR3_CORGL, Corynebacterium glutamicum (Q8NQC8)
ACR3_ALKMQ, Alkaliphilus metalliredigens (A6TP80)
ARSB_BACSU, Bacillus subtilis (P45946)
Q9L1X4_STRCO, Streptomyces coelicolor (Q9L1X4)
Y944_SYNY3, Synechocystis sp. (P74311)
Q9X8Y0_STRCO, Streptomyces coelicolor (Q9X8Y0)
Q8ABJ6_BACTN, Bacteroides thetaiotaomicron (Q8ABJ6)
Q81BK2_BACCR, Bacillus cereus (Q81BK2)
ROOT|tr|H8I5Q2|H8I5Q2_METCZ, Methanocella conradii (H8I5Q2_METCZ)
ACZ38809.1, Sphaerobacter_thermophilus_DSM_20745 (ACZ38809.1)
ADB49024.1, Conexibacter_woesei_DSM_14684 (ADB49024.1)
AEK32116.1, uncultured_bacterium (AEK32116.1)
AFA34210.1, uncultured_prokaryote (AFA34210.1)
AFA34211.1, uncultured_prokaryote (AFA34211.1)
AFA34237.1, uncultured_prokaryote (AFA34237.1)
AFA34251.1, uncultured_prokaryote (AFA34251.1)
AKS26114.1, uncultured_bacterium (AKS26114.1)
AKS26117.1, uncultured_bacterium (AKS26117.1)
ALV86074.1, uncultured_bacterium (ALV86074.1)
ALV86085.1, uncultured_Acidobacteriaceae_bacterium (ALV86085.1)
ALV86086.1, uncultured_bacterium (ALV86086.1)
ALV86111.1, uncultured_Acidobacteriaceae_bacterium (ALV86111.1)
AMY10807.1, Luteitalea_pratensis (AMY10807.1)
APR82547.1, Minicystis_rosea (APR82547.1)
BAF58833.1, Pelotomaculum_thermopropionicum_SI (BAF58833.1)
BAU46983.1, Sulfurifustis_variabilis (BAU46983.1)
CBE68184.1, Candidatus_Methylomirabilis_oxyfera (CBE68184.1)
CBX29165.1, uncultured_Desulfobacterium_sp. (CBX29165.1)
CCH35909.1, uncultured_bacterium (CCH35909.1)
CEL09153.1, Aspergillus_calidoustus (CEL09153.1)
EPX61438.1, Cystobacter_fuscus_DSM_2262 (EPX61438.1)
ETZ64017.1, Mycobacterium_sp._MAC_080597_8934 (ETZ64017.1)
GAP20749.1, Leptolinea_tardivitalis (GAP20749.1)
KIF35075.1, Hassallia_byssoidea_VB512170 (KIF35075.1)
KKX23454.1, Agrobacterium_sp._LC34 (KKX23454.1)
KPJ95978.1, Gammaproteobacteria_bacterium_SG8_15 (KPJ95978.1)
KPK01331.1, Gemmatimonas_sp._SG8_28 (KPK01331.1)
KPK22527.1, Nitrospira_bacterium_SG8_3 (KPK22527.1)
KPK24537.1, Desulfobacterales_bacterium_SG8_35_2 (KPK24537.1)
KPK33385.1, Nitrospira_bacterium_SG8_35_1 (KPK33385.1)
KPK39741.1, Gammaproteobacteria_bacterium_SG8_47 (KPK39741.1)
KPK61153.1, Gammaproteobacteria_bacterium_SG8_31 (KPK61153.1)
KPK65839.1, Planctomycetes_bacterium_SM23_32 (KPK65839.1)
KPK73417.1, Acidithiobacillales_bacterium_SM23_46 (KPK73417.1)
KUJ95114.1, Desulfonauticus_sp._38_4375 (KUJ95114.1)
KUK41087.1, Clostridia_bacterium_62_21 (KUK41087.1)
KUO63488.1, bacterium_BRH_c32 (KUO63488.1)
KXS31947.1, Candidatus_Gallionella_acididurans (KXS31947.1)
KYF56975.1, Sorangium_cellulosum (KYF56975.1)
ODS53492.1, Acidobacteria_bacterium_SCN_69-37 (ODS53492.1)
ODS80438.1, Cytophagaceae_bacterium_SCN_52-12 (ODS80438.1)
ODT04227.1, Gemmatimonadetes_bacterium_SCN_70-22 (ODT04227.1)
ODT04884.1, Gemmatimonadetes_bacterium_SCN_70-22 (ODT04884.1)
ODU25218.1, Verrucomicrobia_bacterium_SCN_57-15 (ODU25218.1)
OEU61789.1, Desulfobacterales_bacterium_S5133MH16 (OEU61789.1)
OFV96605.1, Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_61_28 (OFV96605.1)
OFW11557.1, Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_67_36 (OFW11557.1)
OFW49559.1, Actinobacteria_bacterium_RBG_13_35_12 (OFW49559.1)
OFW53307.1, Actinobacteria_bacterium_RBG_13_35_12 (OFW53307.1)
OFW66800.1, Actinobacteria_bacterium_RBG_16_68_21 (OFW66800.1)
OFW72001.1, Actinobacteria_bacterium_RBG_16_68_12 (OFW72001.1)
OFX13380.1, Armatimonadetes_bacterium_RBG_16_58_9 (OFX13380.1)
OFX27828.1, Armatimonadetes_bacterium_RBG_16_67_12 (OFX27828.1)
OFX44867.1, Bacteroidetes_bacterium_GWA2_33_15 (OFX44867.1)
OFZ35996.1, Bdellovibrionales_bacterium_RIFOXYB1_FULL_39_21 (OFZ35996.1)
OFZ72523.1, Bdellovibrionales_bacterium_RIFOXYD1_FULL_44_7 (OFZ72523.1)
OFZ83053.1, Bdellovibrionales_bacterium_RIFOXYD1_FULL_53_11 (OFZ83053.1)
OGA31920.1, Betaproteobacteria_bacterium_RIFCSPLOWO2_12_FULL_64_23 (OGA31920.1)
OGA55558.1, Betaproteobacteria_bacterium_RIFCSPLOWO2_12_FULL_65_14 (OGA55558.1)
OGD27116.1, Candidatus_Aminicenantes_bacterium_RBG_19FT_COMBO_65_30 (OGD27116.1)
OGF05652.1, Candidatus_Edwardsbacteria_bacterium_RifOxyC12_full_54_24 (OGF05652.1)
OGF50249.1, Candidatus_Firestonebacteria_bacterium_RIFOXYA2_FULL_40_8 (OGF50249.1)
OGF66395.1, Candidatus_Fischerbacteria_bacterium_RBG_13_37_8 (OGF66395.1)
OGG54904.1, Candidatus_Handelsmanbacteria_bacterium_RIFCSPLOWO2_12_FULL_64_10 (OGG54904.1)
OGK95591.1, Candidatus_Rokubacteria_bacterium_RIFCSPHIGHO2_02_FULL_73_26 (OGK95591.1)
OGL65924.1, Candidatus_Tectomicrobia_bacterium_RIFCSPLOWO2_12_FULL_69_37 (OGL65924.1)
OGN80124.1, Chloroflexi_bacterium_GWB2_54_36 (OGN80124.1)
OGN91542.1, Chloroflexi_bacterium_RBG_13_50_10 (OGN91542.1)
OGN96008.1, Chloroflexi_bacterium_RBG_13_51_36 (OGN96008.1)
OGO02968.1, Chloroflexi_bacterium_RBG_13_54_8 (OGO02968.1)
OGO08276.1, Chloroflexi_bacterium_RBG_13_60_9 (OGO08276.1)
OGO11170.1, Chloroflexi_bacterium_RBG_13_68_17 (OGO11170.1)
OGO12842.1, Chloroflexi_bacterium_RBG_13_66_10 (OGO12842.1)
OGO16999.1, Chloroflexi_bacterium_RBG_16_48_7 (OGO16999.1)
OGO21837.1, Chloroflexi_bacterium_RBG_16_50_9 (OGO21837.1)
OGO23747.1, Chloroflexi_bacterium_RBG_16_51_9 (OGO23747.1)
OGO47633.1, Chloroflexi_bacterium_RBG_16_64_32 (OGO47633.1)
OGO59086.1, Chloroflexi_bacterium_RBG_19FT_COMBO_47_15 (OGO59086.1)
OGO61074.1, Chloroflexi_bacterium_RBG_19FT_COMBO_49_13 (OGO61074.1)
